;;;Obra;Bancos;;;B.D.I.;;;Encargos Sociais;;;
;;;Vila Andriw;"SINAPI - 07/2025 - Rondônia
";;;0,0%;;;Não Desonerado: embutido nos preços unitário dos insumos de mão de obra, de acordo com as bases.;;;
Planilha Orçamentária Sintética Com Valor do Material e da Mão de Obra;;;;;;;;;;;;;
Item;Código;Banco;Descrição;Und;Quant.;Valor Unit;Valor Unit com BDI;;;Total;;;Peso (%)
;;;;;;;M. O.;MAT.;Total;M. O.;MAT.;Total;
 1 ;;;Fundação;;;;;;;;;42.507,19;33,59 %
 1.1 ;;;Vigas;;;;;;;;;23.600,73;18,65 %
 1.1.1 ; 92761 ;SINAPI;ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 8,0 MM - MONTAGEM. AF_06/2022;KG;480,2;15,05;1,94;13,11;15,05;931,58;6.295,43;7.227,01;5,71 %
 1.1.2 ; 94965 ;SINAPI;CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021;m³;7,1;740,54;74,24;666,30;740,54;527,10;4.730,73;5.257,83;4,15 %
 1.1.3 ; 96533 ;SINAPI;FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM MADEIRA SERRADA, E=25 MM, 2 UTILIZAÇÕES. AF_01/2024;m²;119,5;93,02;42,37;50,65;93,02;5.063,21;6.052,68;11.115,89;8,78 %
 1.2 ;;;Pilares;;;;;;;;;8.649,86;6,84 %
 1.2.1 ; 92763 ;SINAPI;ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022;KG;197,8;11,33;0,80;10,53;11,33;158,24;2.082,83;2.241,07;1,77 %
 1.2.2 ; 94965 ;SINAPI;CONCRETO FCK = 25MPA, TRAÇO 1:2,3:2,7 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021;m³;1,4;740,54;74,24;666,30;740,54;103,93;932,82;1.036,75;0,82 %
 1.2.3 ; 92417 ;SINAPI;MONTAGEM E DESMONTAGEM DE FÔRMA DE PILARES RETANGULARES E ESTRUTURAS SIMILARES, PÉ-DIREITO DUPLO, EM CHAPA DE MADEIRA COMPENSADA RESINADA, 2 UTILIZAÇÕES. AF_09/2020;m²;26,2;205,04;73,34;131,70;205,04;1.921,50;3.450,54;5.372,04;4,25 %
 1.3 ;;;Fundações;;;;;;;;;10.256,60;8,11 %
 1.3.1 ; 104918 ;SINAPI;ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024;KG;175,4;17,28;3,65;13,63;17,28;640,21;2.390,70;3.030,91;2,40 %
